法術,英文名稱,欄位,修正前,修正後
活化亡軍,Animate Legion,duration,1 輪/等級 豁免：無,1 輪/等級
活化亡軍,Animate Legion,saving_throw,,無
高等傳送預知,Anticipate Teleportation，Greater,casting_time,10 分鐘持,10 分鐘
高等傳送預知,Anticipate Teleportation，Greater,duration,,24 小時。
高等傳送預知,Anticipate Teleportation，Greater,description_zh,"續時間：24 小時。
此法術類似傳送預知，除了高等傳送預知可確認傳送來的生物（以及它的任何同伴）的
類型，並造成 3 回合的延遲，讓受術者得到更長的預警與準備時間。
法器：一隻價值為 1000 金幣的小巧沙漏，用白金與水晶製成，內裝鑽石粉。…","此法術類似傳送預知，除了高等傳送預知可確認傳送來的生物（以及它的任何同伴）的
類型，並造成 3 回合的延遲，讓受術者得到更長的預警與準備時間。
法器：一隻價值為 1000 金幣的小巧沙漏，用白金與水晶製成，內裝鑽石粉。法術生效時間內，
受術…"
多臂術,Arms of Plenty,range_text,,接觸
多臂術,Arms of Plenty,area_text,接觸,
贖罪術,Atonement,duration,立即 豁免：無,立即
贖罪術,Atonement,saving_throw,,無
血管異變,Avascular Mass,casting_time,1 標準動作 作用距離：近,1 標準動作
血管異變,Avascular Mass,range_text,,近
驅血術,Avasculate,casting_time,1 標準動作 作用距離：近,1 標準動作
驅血術,Avasculate,range_text,,近
啟蒙不死生物,Awaken Undead,range_text,,近
啟蒙不死生物,Awaken Undead,target_text,,處於一個半徑為 25+5 英尺每兩個等級的圓內的無意識的不死生物
啟蒙不死生物,Awaken Undead,duration,,永久（消解）
啟蒙不死生物,Awaken Undead,saving_throw,,無（無害）
啟蒙不死生物,Awaken Undead,spell_resistance,,可（無害）
啟蒙不死生物,Awaken Undead,description_zh,"作用距離：近
作用物件：處於一個半徑為 25+5 英尺每兩個等級的圓內的無意識的不死生物
時效：永久（消解）
豁免檢定：無（無害）
法術抗力：可（無害）
本法術給予無意識的不死生物（如骷髏、僵屍等）以智力，已經有智力的則不受影響。
作用範圍…","本法術給予無意識的不死生物（如骷髏、僵屍等）以智力，已經有智力的則不受影響。
作用範圍內的無意識不死生物（即無智力值）將獲得 4+1d6 的智力。不死生物的智力無法
超越其生前的水準。一頭骷髏犬僅能擁有 2 點智力，一個骷髏半獸人可以投骰，…"
