spell_id,name_zh,name_en,pdf_pages,provider,needs_review
spl_01M2SPSHCCJEEM0CPVRK3PCEAH,榮耀之冠,Crown Of Glory,382,google-api,true
spl_01M2SPSHGXZDW641WXSCKFD32S,幻影之景,Shadow Landscape,920-921,google-api,true
spl_01M2SPSHGYSG431EKSFYVB39GX,陰影面具,SHADOW MASK,922,google-api,true
spl_01M2SPSHGYHYAJR5ZWK8CKV6DM,暗影相位,Shadow Phase,921-922,google-api,true
spl_01M2SPSHGYCTD3QXG909CX0CWS,陰影輝光,SHADOW RADIANCE,922-923,google-api,true
spl_01M2SPSHGYEQH9V1ZHN0FXB7F8,陰影之井,SHADOW WELL,924,google-api,true
spl_01M2SPSHGYNMJE78ZHKACVK9GZ,陰影爆破,SHADOWBLAST,924-925,google-api,true
spl_01M2SPSHGYF99N5H176C42Y5XW,陰影消退,SHADOWFADE,925,google-api,true
spl_01M2SPSHGZZWG9TC6KY91W1VTN,陰影擒抱者,SHADOWY GRAPPLER,925-926,google-api,true
spl_01M2SPSHGZBNN3BF01070MDYYN,碎片風暴,SHARD STORM,927,google-api,true
spl_01M2SPSHGZ15FB1TGDC9K6T2XE,共享軀殼,SHARE HUSK,927-928,google-api,true
spl_01M2SPSHGZNKF7K4RH9RC88KSJ,銳齒術,SHARPTOOTH,928-929,google-api,true
spl_01M2SPSHH0F4TJ7Q12JDCGMXS2,碎地術,SHATTERFLOOR,929,google-api,true
spl_01M2SPSHH06KXGS1AB5ZNX8M6P,結界之盾,Shield Of Warding,932,google-api,true
spl_01M2SPSHH09VT9S1M7DQ3X9YQN,持盾者,SHIELDBEARER,932-933,google-api,true
spl_01M2SPSHH0N1PN09P255SXZM0W,易位路徑,SHIFTING PATHS,933-934,google-api,true
spl_01M2SPSHH1Q3C3CYZ9S57S4RK6,火焰罩衣,SHROUD OF FLAME,936,google-api,true
spl_01M2SPSHH1MFFTTNE3JTP3SFSG,不死罩衣,SHROUD OF UNDEATH,936-937,google-api,true
spl_01M2SPSHH1176157159KQRZTZK,徵兆術,SIGN,937,google-api,true
spl_01M2SPSHH2Z8NZV8Z84SKZ5QG0,寂靜門扉,SILENT PORTAL,939,google-api,true
spl_01M2SPSHH2JSKZE70XY8EQX68P,銀鬚術,SILVERBEARD,939-940,google-api,true
spl_01M2SPSHH2K71GZC8XCBHAMCNX,沉陷術,SINK,941,google-api,true
spl_01M2SPSHH3NW0R9BTWXB7Q6VND,骸骨守衛,SKELETAL GUARD,943-944,google-api,true
spl_01M2SPSHH3EXKXR3AVJF6G49DA,骷髏警戒,SKULL WATCH,944,google-api,true
spl_01M2SPSHH3JNF1Y516MWF7895Q,掌摑之手,SLAPPING HAND,945-946,google-api,true
spl_01M2SPSHH35FEWTQEC86PAZT3N,斬裂黑暗,SLASHING DARKNESS,946,google-web,true
spl_01M2SPSHH4XM4JSY8SJHQW0S9K,滑移術,SLIDE,948,google-web,true
spl_01M2SPSHH4J774E4TVAJY18X03,高等滑移術,"SLIDE, GREATER",948,google-web,true
spl_01M2SPSHH4HCH8HPV03S3Z7XEA,黏液浪潮,SLIME WAVE,948-949,google-web,true
spl_01M2SPSHH4KQKQ3G0A4GQBNTJT,緩燃術,SLOW BURN,950,google-web,true
